"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27230","R30 C01,C42 Tablas de mortalidad","","2025-12-16","passed","2025-12-16","","","",""
"","40901","R32 Listar parametro nota tecnica","","2025-12-16","passed","2025-12-16","","","",""
"","16976","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","2025-12-16","passed","2025-12-16","","","",""
"","37726","R32 C25-C29 Eliminar las vigencias de los parametros","","2025-12-16","passed","2025-12-16","","","",""
"","121806","R03- C01 creacion manual de cotizacion","","2025-12-16","passed","2025-12-16","","","",""
"","39160","R32 C02-C13,C45 Verificar los arhivos cargados","","2025-12-16","passed","2025-12-16","","","",""
"","73716","R01 C02 creacion manual de cotizacion","","2025-12-16","broken","2025-12-16","","","",""
"","140245","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","2025-12-16","passed","2025-12-16","","","",""
"","10239","Creacion de un siniestro","","2025-12-16","passed","2025-12-16","","","",""
"","96332","R30 C02-C13,C45 Verificar los arhivos cargados","","2025-12-16","passed","2025-12-16","","","",""
"","14827","Comparacion de resultados de cotización masiva con archivo de referencia","","2025-12-16","passed","2025-12-16","","","",""
"","137577","R30 C25-C29 Eliminar las vigencias de los parametros","","2025-12-16","passed","2025-12-16","","","",""
"","42960","R32 C02-C13,C45 Crear vigencia para la nota tecnica","","2025-12-16","passed","2025-12-16","","","",""
"","14433","R05 Carga exitosa del archivo masivo y descarga de resultados","","2025-12-16","passed","2025-12-16","","","",""
