"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","180263","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","2025-12-17","passed","2025-12-17","","","",""
"","14473","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","2025-12-17","passed","2025-12-17","","","",""
"","33763","R01 C02 creacion manual de cotizacion","","2025-12-17","broken","2025-12-17","","","",""
"","46008","R32 C02-C13,C45 Crear vigencia para la nota tecnica","","2025-12-17","passed","2025-12-17","","","",""
"","26447","R30 C01,C42 Tablas de mortalidad","","2025-12-17","passed","2025-12-17","","","",""
"","22488","R32 Listar parametro nota tecnica","","2025-12-17","passed","2025-12-17","","","",""
"","96565","R30 C25-C29 Eliminar las vigencias de los parametros","","2025-12-17","passed","2025-12-17","","","",""
"","38798","R32 C02-C13,C45 Verificar los arhivos cargados","","2025-12-17","passed","2025-12-17","","","",""
"","32037","R32 C25-C29 Eliminar las vigencias de los parametros","","2025-12-17","passed","2025-12-17","","","",""
"","116519","R30 C02-C13,C45 Verificar los arhivos cargados","","2025-12-17","passed","2025-12-17","","","",""
