"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14873","Comparacion de resultados de cotización masiva con archivo de referencia","","2025-12-23","passed","2025-12-23","","","",""
"","12977","R05 Carga exitosa del archivo masivo y descarga de resultados","","2025-12-23","passed","2025-12-23","","","",""
"","95627","R30 C02-C13,C45 Verificar los arhivos cargados","","2025-12-23","passed","2025-12-23","","","",""
"","104779","R01 C02 creacion manual de cotizacion","","2025-12-23","passed","2025-12-23","","","",""
"","148494","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","2025-12-23","passed","2025-12-23","","","",""
"","128950","R30 C25-C29 Eliminar las vigencias de los parametros","","2025-12-23","passed","2025-12-23","","","",""
"","58077","R32 C02-C13,C45 Crear vigencia para la nota tecnica","","2025-12-23","passed","2025-12-23","","","",""
"","8776","Creacion de un siniestro","","2025-12-23","passed","2025-12-23","","","",""
"","21859","R32 Listar parametro nota tecnica","","2025-12-23","passed","2025-12-23","","","",""
"","26109","R03- C01 creacion manual de cotizacion","","2025-12-23","broken","2025-12-23","","","",""
"","35132","R32 C02-C13,C45 Verificar los arhivos cargados","","2025-12-23","passed","2025-12-23","","","",""
"","41081","R32 C25-C29 Eliminar las vigencias de los parametros","","2025-12-23","passed","2025-12-23","","","",""
"","14835","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","2025-12-23","passed","2025-12-23","","","",""
"","31281","R30 C01,C42 Tablas de mortalidad","","2025-12-23","passed","2025-12-23","","","",""
