"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37084","R32 C02-C13,C45 Crear vigencia para la nota tecnica","","2025-12-15","passed","2025-12-15","","","",""
"","12988","Comparacion de resultados de cotización masiva con archivo de referencia","","2025-12-15","passed","2025-12-15","","","",""
"","99690","R30 C02-C13,C45 Verificar los arhivos cargados","","2025-12-15","passed","2025-12-15","","","",""
"","28051","R32 C25-C29 Eliminar las vigencias de los parametros","","2025-12-15","passed","2025-12-15","","","",""
"","102911","R01 C02 creacion manual de cotizacion","","2025-12-15","passed","2025-12-15","","","",""
"","16169","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","2025-12-15","passed","2025-12-15","","","",""
"","31831","R32 C02-C13,C45 Verificar los arhivos cargados","","2025-12-15","passed","2025-12-15","","","",""
"","82546","R30 C25-C29 Eliminar las vigencias de los parametros","","2025-12-15","passed","2025-12-15","","","",""
"","13053","R05 Carga exitosa del archivo masivo y descarga de resultados","","2025-12-15","passed","2025-12-15","","","",""
"","69522","R03- C01 creacion manual de cotizacion","","2025-12-15","passed","2025-12-15","","","",""
"","8638","Creacion de un siniestro","","2025-12-15","passed","2025-12-15","","","",""
"","128362","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","2025-12-15","passed","2025-12-15","","","",""
"","18579","R32 Listar parametro nota tecnica","","2025-12-15","passed","2025-12-15","","","",""
"","25970","R30 C01,C42 Tablas de mortalidad","","2025-12-15","passed","2025-12-15","","","",""
