"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26268","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","2026-01-27","broken","2026-01-27","","","",""
"","21971","Comparacion de resultados de cotización masiva con archivo de referencia","","2026-01-27","broken","2026-01-27","","","",""
"","21985","R05 Carga exitosa del archivo masivo y descarga de resultados","","2026-01-27","broken","2026-01-27","","","",""
"","34519","R30 C01,C42 Tablas de mortalidad","","2026-01-27","broken","2026-01-27","","","",""
"","26321","R30 C25-C29 Eliminar las vigencias de los parametros","","2026-01-27","broken","2026-01-27","","","",""
"","27334","R30 C02-C13,C45 Verificar los arhivos cargados","","2026-01-27","broken","2026-01-27","","","",""
"","21934","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","2026-01-27","broken","2026-01-27","","","",""
"","22979","R01 C02 creacion manual de cotizacion","","2026-01-27","broken","2026-01-27","","","",""
"","25563","R32 C02-C13,C45 Verificar los arhivos cargados","","2026-01-27","broken","2026-01-27","","","",""
"","25221","R32 C25-C29 Eliminar las vigencias de los parametros","","2026-01-27","broken","2026-01-27","","","",""
"","21812","R03- C01 creacion manual de cotizacion","","2026-01-27","broken","2026-01-27","","","",""
"","26641","R32 C02-C13,C45 Crear vigencia para la nota tecnica","","2026-01-27","broken","2026-01-27","","","",""
"","28269","R32 Listar parametro nota tecnica","","2026-01-27","broken","2026-01-27","","","",""
"","23656","Creacion de un siniestro","","2026-01-27","broken","2026-01-27","","","",""
