"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13408","R05 Carga exitosa del archivo masivo y descarga de resultados","","2025-12-18","passed","2025-12-18","","","",""
"","133000","R30 C25-C29 Eliminar las vigencias de los parametros","","2025-12-18","passed","2025-12-18","","","",""
"","67049","R01 C02 creacion manual de cotizacion","","2025-12-18","broken","2025-12-18","","","",""
"","85936","R03- C01 creacion manual de cotizacion","","2025-12-18","passed","2025-12-18","","","",""
"","41041","R32 C02-C13,C45 Crear vigencia para la nota tecnica","","2025-12-18","passed","2025-12-18","","","",""
"","22137","R32 Listar parametro nota tecnica","","2025-12-18","passed","2025-12-18","","","",""
"","30129","R32 C25-C29 Eliminar las vigencias de los parametros","","2025-12-18","passed","2025-12-18","","","",""
"","32970","R32 C02-C13,C45 Verificar los arhivos cargados","","2025-12-18","passed","2025-12-18","","","",""
"","9246","Creacion de un siniestro","","2025-12-18","passed","2025-12-18","","","",""
"","15184","R01- C01 Carga exitosa del archivo masivo y descarga de resultados","","2025-12-18","passed","2025-12-18","","","",""
"","90888","R30 C02-C13,C45 Verificar los arhivos cargados","","2025-12-18","passed","2025-12-18","","","",""
"","26750","R30 C01,C42 Tablas de mortalidad","","2025-12-18","passed","2025-12-18","","","",""
"","13311","Comparacion de resultados de cotización masiva con archivo de referencia","","2025-12-18","passed","2025-12-18","","","",""
"","135410","R30 C02-C13,C45 Crear vigencias verificando el archivo cargado","","2025-12-18","passed","2025-12-18","","","",""
